City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-05-12 15:19:56,22.0752,-159.319,73.72,86,75,16.11
1,Hobart,AU,2022-05-12 15:19:22,-42.8794,147.3294,50.05,91,78,6.91
2,Albany,US,2022-05-12 15:15:06,42.6001,-73.9662,76.73,27,7,1.99
3,Labuhan,ID,2022-05-12 15:19:57,-6.8844,112.2051,80.31,84,42,0.27
4,Rikitea,PF,2022-05-12 15:17:31,-23.1203,-134.9692,77.0,75,29,20.33
5,Hamilton,US,2022-05-12 15:15:05,39.1834,-84.5333,78.75,42,40,10.36
6,Atuona,PF,2022-05-12 15:19:57,-9.8,-139.0333,78.1,79,77,23.98
7,Yumen,CN,2022-05-12 15:19:58,40.2833,97.2,54.18,20,79,30.06
8,Yining,CN,2022-05-12 15:19:58,29.0361,114.5636,65.39,98,100,1.57
9,Aksu,CN,2022-05-12 15:19:59,41.1231,80.2644,72.99,31,76,7.07
10,Punta Arenas,CL,2022-05-12 15:19:24,-53.15,-70.9167,44.71,87,75,11.5
11,Busselton,AU,2022-05-12 15:19:59,-33.65,115.3333,55.38,80,64,15.86
12,Maragogi,BR,2022-05-12 15:19:59,-9.0122,-35.2225,82.62,72,28,9.24
13,Alyangula,AU,2022-05-12 15:20:00,-13.8483,136.4192,76.73,71,42,4.47
14,Halifax,CA,2022-05-12 15:19:52,44.6453,-63.5724,76.68,48,20,8.05
15,Zhigansk,RU,2022-05-12 15:20:01,66.7697,123.3711,33.93,99,100,5.46
16,Mar Del Plata,AR,2022-05-12 15:20:01,-38.0023,-57.5575,59.95,69,75,10.0
17,Dunedin,NZ,2022-05-12 15:20:02,-45.8742,170.5036,51.8,64,98,4.9
18,Byron Bay,AU,2022-05-12 15:20:03,-28.65,153.6167,69.71,88,100,17.65
19,Ushuaia,AR,2022-05-12 15:20:03,-54.8,-68.3,44.22,93,100,2.3
20,Silver City,US,2022-05-12 15:20:04,32.7701,-108.2803,68.63,16,0,5.75
21,Sibolga,ID,2022-05-12 15:20:04,1.7427,98.7792,79.41,83,100,2.53
22,Straumen,NO,2022-05-12 15:20:05,63.8709,11.2999,46.4,89,100,15.43
23,Port Alfred,ZA,2022-05-12 15:20:05,-33.5906,26.891,69.19,74,0,4.21
24,Flinders,AU,2022-05-12 15:20:06,-34.5833,150.8552,67.37,91,100,5.99
25,Provideniya,RU,2022-05-12 15:20:06,64.3833,-173.3,32.86,96,91,8.7
26,Axim,GH,2022-05-12 15:20:07,4.8699,-2.2405,83.89,76,100,7.9
27,Lennik,BE,2022-05-12 15:17:24,50.8089,4.1631,69.64,48,100,3.0
28,Mikhaylovka,RU,2022-05-12 15:20:07,50.06,43.2379,60.3,69,100,9.75
29,Nanortalik,GL,2022-05-12 15:20:08,60.1432,-45.2371,35.35,89,100,4.18
30,Avarua,CK,2022-05-12 15:20:09,-21.2078,-159.775,78.85,94,75,12.66
31,Hilo,US,2022-05-12 15:19:02,19.7297,-155.09,69.28,86,75,5.99
32,Yellowknife,CA,2022-05-12 15:20:09,62.456,-114.3525,37.92,70,40,6.91
33,San Patricio,US,2022-05-12 15:20:10,28.017,-97.5169,84.09,62,8,14.0
34,Belmonte,BR,2022-05-12 15:20:10,-15.8631,-38.8828,83.46,64,49,6.82
35,Kruisfontein,ZA,2022-05-12 15:20:10,-34.0033,24.7314,63.88,74,1,9.71
36,Namibe,AO,2022-05-12 15:20:11,-15.1961,12.1522,77.79,60,5,7.9
37,Chokurdakh,RU,2022-05-12 15:20:12,70.6333,147.9167,21.47,98,93,6.02
38,Tasiilaq,GL,2022-05-12 15:20:12,65.6145,-37.6368,28.56,53,100,3.56
