City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
642,Pemangkat,ID,78.78,Clouds,1.1667,108.9667,Ramah Kost KITA
644,Gopalpur,IN,82.98,Clouds,19.2667,84.9167,Gopalpur Palm Resort
645,Manggar,ID,80.2,Clouds,-2.8833,108.2667,Guest Hotel
648,Saquarema,BR,77.04,Clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
650,Baculin,PH,77.92,Clouds,7.4525,126.5842,Baculin Cove Beach Resort
655,Maragogi,BR,79.39,Clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
660,Outram,MY,84.22,Clouds,1.2829,103.8379,Grand Copthorne Waterfront
663,Celestun,MX,82.76,Clear,20.8667,-90.4,Posada Lilia
664,Hirara,JP,77.13,Rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
675,Carutapera,BR,80.42,Clouds,-1.195,-46.02,Lidera
676,Crestview,US,89.31,Clear,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
681,Marang,MY,80.51,Clouds,5.2056,103.2059,DBarakah Homestay
685,Lorengau,PG,81.12,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
687,Sao Domingos,BR,82.67,Clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
690,Mehtar Lam,AF,82.67,Clouds,34.6714,70.2094,Fareed Hakamani
699,Yurimaguas,PE,89.76,Clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
708,Yilan,TW,77.36,Rain,24.757,121.753,Dar Chen Hotel
709,Manokwari,ID,79.92,Clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
