WeatherPy_Database,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
53,Basco,20.4487,121.9702,83.5,78,91,11.95,Clouds,PH,2022-05-13 19:15:32
54,Khatanga,71.9667,102.5,19.09,90,100,6.62,Clouds,RU,2022-05-13 19:16:08
55,Pyay,18.8167,95.2167,82.76,71,5,2.84,Clear,MM,2022-05-13 19:16:08
56,Bredasdorp,-34.5322,20.0403,56.88,69,100,8.16,Clouds,ZA,2022-05-13 19:16:09
57,Mount Gambier,-37.8333,140.7667,59.38,81,100,14.03,Rain,AU,2022-05-13 19:12:59
58,Pittsfield,42.4501,-73.2454,83.98,51,40,5.99,Clouds,US,2022-05-13 19:11:14
59,Labuan,5.2767,115.2417,79.16,94,20,0.0,Clouds,MY,2022-05-13 19:16:09
60,Cherskiy,68.75,161.3,35.1,74,73,12.53,Clouds,RU,2022-05-13 19:16:09
61,Tezu,27.9167,96.1667,70.54,98,100,3.38,Clouds,IN,2022-05-13 19:16:10
62,Busselton,-33.65,115.3333,60.4,70,100,17.0,Clouds,AU,2022-05-13 19:16:10
63,Yellowknife,62.456,-114.3525,57.72,38,75,14.97,Clouds,CA,2022-05-13 19:16:10
64,Saint George,37.1041,-113.5841,80.44,13,0,5.01,Clear,US,2022-05-13 19:16:11
65,Grindavik,63.8424,-22.4338,41.47,52,75,16.11,Clouds,IS,2022-05-13 19:16:11
66,Saskylakh,71.9167,114.0833,2.79,100,80,5.12,Clouds,RU,2022-05-13 19:16:11
67,Maceio,-9.6658,-35.7353,78.24,88,75,2.3,Clouds,BR,2022-05-13 19:16:12
68,Aykhal,66.0,111.5,19.15,86,100,3.6,Clouds,RU,2022-05-13 19:16:12
69,Hilo,19.7297,-155.09,82.27,75,0,5.99,Clear,US,2022-05-13 19:13:00
70,Shalinskoye,55.7228,93.7594,50.74,41,61,4.05,Clouds,RU,2022-05-13 19:16:13
71,Sao Filipe,14.8961,-24.4956,75.7,68,5,8.97,Clear,CV,2022-05-13 19:16:13
72,Los Arabos,22.7281,-80.7214,88.12,42,96,11.21,Clouds,CU,2022-05-13 19:16:10
73,Suoyarvi,62.0833,32.35,45.75,91,100,6.51,Clouds,RU,2022-05-13 19:16:13
74,Katsuura,35.1333,140.3,69.82,95,100,23.69,Rain,JP,2022-05-13 19:16:14
75,Ippy,6.2679,21.2247,78.91,65,99,2.66,Clouds,CF,2022-05-13 19:16:14
76,Hualmay,-11.0964,-77.6139,69.31,74,14,10.8,Clouds,PE,2022-05-13 19:16:14
77,Pisco,-13.7,-76.2167,69.85,73,9,4.61,Smoke,PE,2022-05-13 19:16:15
78,Kysyl-Syr,63.8986,122.7617,26.22,82,92,11.63,Clouds,RU,2022-05-13 19:16:15
79,Nelson Bay,-32.7167,152.15,67.1,98,29,1.01,Clouds,AU,2022-05-13 19:16:15
80,Ikwiriri,-7.9562,38.9716,70.84,90,98,3.49,Clouds,TZ,2022-05-13 19:16:16
81,Itaueira,-7.6033,-43.0256,95.77,30,76,7.63,Clouds,BR,2022-05-13 19:16:16
82,Neuquen,-38.9516,-68.0591,57.09,26,0,14.97,Clear,AR,2022-05-13 19:16:17
83,Hithadhoo,-0.6,73.0833,82.74,71,100,3.96,Clouds,MV,2022-05-13 19:16:17
84,Grand Gaube,-20.0064,57.6608,73.8,77,29,1.99,Clouds,MU,2022-05-13 19:15:29
85,Ngama,11.7833,17.1667,86.94,45,100,18.86,Rain,TD,2022-05-13 19:16:17
86,Yar-Sale,66.8333,70.8333,36.91,91,100,9.28,Clouds,RU,2022-05-13 19:16:18
87,Punta Arenas,-53.15,-70.9167,46.51,61,20,10.36,Clouds,CL,2022-05-13 19:12:04
88,Ambilobe,-13.2,49.05,72.0,86,0,3.96,Clear,MG,2022-05-13 19:16:18
89,Domoni,-12.2569,44.5319,77.86,77,31,5.39,Clouds,KM,2022-05-13 19:16:19
90,Kambove,-10.8764,26.5969,63.72,63,72,4.16,Clouds,CD,2022-05-13 19:17:19
91,Mazamari,-11.3258,-74.5308,87.4,46,32,2.39,Clouds,PE,2022-05-13 19:17:19
92,Faanui,-16.4833,-151.75,81.54,70,12,17.07,Clouds,PF,2022-05-13 19:12:46
93,Sola,-13.8833,167.55,80.28,76,99,23.13,Rain,VU,2022-05-13 19:15:53
94,Kruisfontein,-34.0033,24.7314,61.88,75,87,15.52,Clouds,ZA,2022-05-13 19:17:20
95,Lavrentiya,65.5833,-171.0,25.38,77,4,3.15,Clear,RU,2022-05-13 19:17:20
96,Ancud,-41.8697,-73.8203,51.19,68,100,5.88,Clouds,CL,2022-05-13 19:16:29
97,Montepuez,-13.1256,38.9997,70.74,59,100,4.74,Clouds,MZ,2022-05-13 19:17:21
98,Talnakh,69.4865,88.3972,40.21,99,100,7.07,Clouds,RU,2022-05-13 19:17:21
99,Bilibino,68.0546,166.4372,22.98,86,100,2.8,Clouds,RU,2022-05-13 19:17:21
